	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	AraTha	African3Epoch_1H18	0.001	0.0	0.01	0.0	1.0	0.0	0.644	0.356	NA	NA	NA	NA	NA	NA	NA	0.0	0.00837
1	AraTha	African3Epoch_1H18	0.001	0.0	0.01	1.0	1.0	0.0	0.638	0.362	NA	NA	NA	NA	0.611111111111111	0.611111111111111	0.20030840419244386	0.004702194357366771	0.00889
2	AraTha	African3Epoch_1H18	0.001	0.0	0.01	10.0	1.0	0.0	0.62	0.38	NA	NA	NA	NA	0.6672835497835498	0.6672835497835498	0.08358676915945339	0.03225806451612903	0.008745000000000001
3	AraTha	African3Epoch_1H18	0.001	0.0	0.01	5.0	1.0	0.0	0.636	0.364	NA	NA	NA	NA	0.7435300207039337	0.7435300207039337	0.07203381678757355	0.036163522012578615	0.008765
4	AraTha	African3Epoch_1H18	0.001	0.0	0.01	50.0	1.0	0.0	0.617	0.383	NA	NA	NA	NA	0.6918449804164089	0.6918449804164089	0.03293599272617151	0.17017828200972449	0.007855000000000001
5	AraTha	African3Epoch_1H18	0.001	0.0	0.05	0.0	0.923	0.4734561213434453	0.49837486457204766	0.028169014084507043	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.4521296296296296
6	AraTha	African3Epoch_1H18	0.001	0.0	0.05	1.0	0.956	0.446652719665272	0.5355648535564853	0.01778242677824268	0.022452505722857147	0.08196721311475409	0.03333333333333333	0.05620608899297424	0.1373423603491837	0.09952089597978356	0.029345552901583312	0.08203125	0.45379017013232514
7	AraTha	African3Epoch_1H18	0.001	0.0	0.05	10.0	0.913	0.48521358159912376	0.4928806133625411	0.02190580503833516	0.12848893623220972	0.6027088036117382	0.15033039647577093	0.5124153498871332	0.2180705675324556	0.18521368969085858	0.014162365234113447	0.5355555555555556	0.44520212765957445
8	AraTha	African3Epoch_1H18	0.001	0.0	0.05	5.0	0.972	0.45987654320987653	0.5123456790123457	0.027777777777777776	0.10163615824712643	0.38926174496644295	0.1343609022556391	0.2975391498881432	0.17978066655761332	0.16041903626222045	0.016669672793402247	0.35943775100401604	0.4616571428571429
9	AraTha	African3Epoch_1H18	0.001	0.0	0.05	50.0	0.98	0.4602040816326531	0.5153061224489796	0.024489795918367346	0.31210435453514734	0.9778270509977827	0.32206088992974236	0.9467849223946785	0.4714157332334579	0.39943546450807804	0.012629208785411008	0.9089108910891089	0.49153119092627595
10	AraTha	African3Epoch_1H18	0.001	0.0	0.1	0.0	0.998	0.9529058116232465	0.04609218436873747	0.001002004008016032	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.44882978723404254
11	AraTha	African3Epoch_1H18	0.001	0.0	0.1	1.0	0.994	0.920523138832998	0.07746478873239436	0.002012072434607646	0.11442094344680849	0.10273224043715846	0.12726190476190474	0.09180327868852459	0.2960213443493401	0.1435934634316566	0.02677693117573794	0.11688311688311688	0.5659493670886075
12	AraTha	African3Epoch_1H18	0.001	0.0	0.1	10.0	0.984	0.9369918699186992	0.06097560975609756	0.0020325203252032522	0.15678582145687792	0.7017353579175705	0.17302744425385935	0.6323210412147505	0.40644449612503425	0.18660258781987274	0.011205099055523669	0.6	0.4166129032258065
13	AraTha	African3Epoch_1H18	0.001	0.0	0.1	5.0	0.987	0.92806484295846	0.06990881458966565	0.002026342451874367	0.1293476496316279	0.46943231441048033	0.14851604278074867	0.40829694323144106	0.28082527682143765	0.15803705465960718	0.013158672058400824	0.42028985507246375	0.4950704225352113
14	AraTha	African3Epoch_1H18	0.001	0.0	0.1	50.0	0.996	0.9327309236947792	0.06325301204819277	0.004016064257028112	0.4794866240765027	0.984930032292788	0.4821984649122807	0.9817007534983854	0.6551538900550505	0.4930415080096177	0.011059541740379172	0.9682539682539683	0.4788805970149253
15	AraTha	African3Epoch_1H18	0.001	0.0	0.5	0.0	0.993	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
16	AraTha	African3Epoch_1H18	0.001	0.0	0.5	1.0	0.995	1.0	0.0	0.0	0.08999138571428572	0.09849246231155778	0.10347058823529416	0.08542713567839195	NA	0.10347058823529416	0.02154063054350004	NA	NA
17	AraTha	African3Epoch_1H18	0.001	0.0	0.5	10.0	0.992	0.9969758064516129	0.0030241935483870967	0.0	0.16481211344732824	0.7947421638018201	0.17789835164835163	0.7360970677451971	0.1	0.17779149519890264	0.009709727450517833	0.3333333333333333	0.08833333333333333
18	AraTha	African3Epoch_1H18	0.001	0.0	0.5	5.0	0.996	0.9919678714859438	0.007028112449799197	0.001004016064257028	0.14019384830902254	0.5384615384615384	0.1624836601307189	0.4645748987854251	NA	0.1624836601307189	0.012465356399121698	0.0	0.049375
19	AraTha	African3Epoch_1H18	0.001	0.0	0.5	50.0	0.997	1.0	0.0	0.0	0.49348128314643935	1.0	0.4950201409869084	0.995987963891675	NA	0.4950201409869084	0.010817751732932665	NA	NA
20	AraTha	African3Epoch_1H18	0.001	0.0	1.0	0.0	0.99	0.9777777777777777	0.01919191919191919	0.0030303030303030303	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.11613636363636362
21	AraTha	African3Epoch_1H18	0.001	0.0	1.0	1.0	0.996	0.9909638554216867	0.008032128514056224	0.001004016064257028	0.0974202534160584	0.13880445795339413	0.11852173913043478	0.11651469098277609	NA	0.11852173913043478	0.02047360432643322	0.0	0.10833333333333334
22	AraTha	African3Epoch_1H18	0.001	0.0	1.0	10.0	0.999	1.0	0.0	0.0	0.1907490813393173	0.7917917917917918	0.20245614035087717	0.7417417417417418	NA	0.20245614035087717	0.010974350608319448	NA	NA
23	AraTha	African3Epoch_1H18	0.001	0.0	1.0	5.0	0.997	1.0	0.0	0.0	0.13145982207518794	0.5336008024072216	0.1548	0.45135406218655966	NA	0.1548	0.011803153689609377	NA	NA
24	AraTha	African3Epoch_1H18	0.001	0.0	1.0	50.0	0.999	1.0	0.0	0.0	0.5113534175551102	0.998998998998999	0.5133032128514057	0.996996996996997	NA	0.5133032128514057	0.011205162755068743	NA	NA
25	AraTha	African3Epoch_1H18	0.001	0.5	0.01	0.0	1.0	0.0	0.932	0.068	NA	NA	NA	NA	NA	NA	NA	0.0	0.054495
26	AraTha	African3Epoch_1H18	0.001	0.5	0.01	1.0	1.0	0.0	0.92	0.08	NA	NA	NA	NA	0.1276497741389046	0.1276497741389046	0.03899549163401929	0.010869565217391304	0.05483
27	AraTha	African3Epoch_1H18	0.001	0.5	0.01	10.0	1.0	0.0	0.926	0.074	NA	NA	NA	NA	0.2885846811607622	0.2885846811607622	0.03226449117994635	0.10907127429805616	0.053805000000000006
28	AraTha	African3Epoch_1H18	0.001	0.5	0.01	5.0	1.0	0.0	0.933	0.067	NA	NA	NA	NA	0.26562969550792875	0.26562969550792875	0.05003738876983858	0.04394426580921758	0.05562
29	AraTha	African3Epoch_1H18	0.001	0.5	0.01	50.0	1.0	0.0	0.926	0.074	NA	NA	NA	NA	0.29596154818907894	0.29596154818907894	0.014965056336383575	0.42764578833693306	0.05595
30	AraTha	African3Epoch_1H18	0.001	0.5	0.05	0.0	1.0	0.958	0.042	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.9963095238095238
31	AraTha	African3Epoch_1H18	0.001	0.5	0.05	1.0	1.0	0.936	0.064	0.0	0.10821780494117647	0.03632478632478633	0.12283333333333331	0.03205128205128205	0.1441111467416852	0.12685886559977827	0.030144911858569247	0.109375	0.9929687500000001
32	AraTha	African3Epoch_1H18	0.001	0.5	0.05	10.0	1.0	0.945	0.055	0.0	0.1371588465911315	0.346031746031746	0.1570950704225352	0.30052910052910053	0.17086788792365962	0.15829078126668428	0.012961820070562955	0.4909090909090909	0.9899090909090911
33	AraTha	African3Epoch_1H18	0.001	0.5	0.05	5.0	1.0	0.938	0.062	0.0	0.13861842398010205	0.208955223880597	0.15546511627906975	0.18336886993603413	0.17004328415393893	0.15634139959395263	0.01719516393901608	0.1774193548387097	0.9962903225806451
34	AraTha	African3Epoch_1H18	0.001	0.5	0.05	50.0	1.0	0.944	0.056	0.0	0.24399387739641087	0.8559322033898306	0.2560181582360571	0.8167372881355932	0.4138847396521703	0.26581280014873565	0.009971326903203421	0.9107142857142857	0.9917857142857143
35	AraTha	African3Epoch_1H18	0.001	0.5	0.1	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
36	AraTha	African3Epoch_1H18	0.001	0.5	0.1	1.0	1.0	1.0	0.0	0.0	0.08817692829591836	0.098	0.1011494252873563	0.087	NA	0.1011494252873563	0.02106282863870538	NA	NA
37	AraTha	African3Epoch_1H18	0.001	0.5	0.1	10.0	1.0	1.0	0.0	0.0	0.07582077096435644	0.606	0.0853996282527881	0.538	NA	0.0853996282527881	0.006453467703596352	NA	NA
38	AraTha	African3Epoch_1H18	0.001	0.5	0.1	5.0	1.0	1.0	0.0	0.0	0.06059348609114584	0.384	0.07095166163141994	0.331	NA	0.07095166163141994	0.006830211700652553	NA	NA
39	AraTha	African3Epoch_1H18	0.001	0.5	0.1	50.0	1.0	1.0	0.0	0.0	0.218407837194332	0.988	0.2222079918032787	0.976	NA	0.2222079918032787	0.0075710253840115165	NA	NA
40	AraTha	African3Epoch_1H18	0.001	0.5	0.5	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
41	AraTha	African3Epoch_1H18	0.001	0.5	0.5	1.0	1.0	1.0	0.0	0.0	0.04641625227142857	0.112	0.05077319587628866	0.097	NA	0.05077319587628866	0.0086841966655329	NA	NA
42	AraTha	African3Epoch_1H18	0.001	0.5	0.5	10.0	1.0	1.0	0.0	0.0	0.08615470284645162	0.62	0.09539964476021315	0.563	NA	0.09539964476021315	0.006823899143035689	NA	NA
43	AraTha	African3Epoch_1H18	0.001	0.5	0.5	5.0	1.0	1.0	0.0	0.0	0.05815555924426667	0.375	0.06946031746031747	0.315	NA	0.06946031746031747	0.0070977249498581155	NA	NA
44	AraTha	African3Epoch_1H18	0.001	0.5	0.5	50.0	1.0	1.0	0.0	0.0	0.2291789062750253	0.989	0.23376028806584362	0.972	NA	0.23376028806584362	0.00782509698252858	NA	NA
45	AraTha	African3Epoch_1H18	0.001	0.5	1.0	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
46	AraTha	African3Epoch_1H18	0.001	0.5	1.0	1.0	1.0	1.0	0.0	0.0	0.03908054804444445	0.09	0.046933333333333334	0.075	NA	0.046933333333333334	0.00969252211681691	NA	NA
47	AraTha	African3Epoch_1H18	0.001	0.5	1.0	10.0	1.0	1.0	0.0	0.0	0.07649102114174756	0.618	0.08520985401459855	0.548	NA	0.08520985401459855	0.006533009729959708	NA	NA
48	AraTha	African3Epoch_1H18	0.001	0.5	1.0	5.0	1.0	1.0	0.0	0.0	0.06390107301066666	0.375	0.07674603174603174	0.315	NA	0.07674603174603174	0.008385906160134186	NA	NA
49	AraTha	African3Epoch_1H18	0.001	0.5	1.0	50.0	1.0	1.0	0.0	0.0	0.22913408265555557	0.99	0.23227505112474436	0.978	NA	0.23227505112474436	0.007684299931170514	NA	NA
50	AraTha	African3Epoch_1H18	0.001	1.0	0.01	0.0	1.0	0.0	0.993	0.007	NA	NA	NA	NA	NA	NA	NA	0.0	0.269705
51	AraTha	African3Epoch_1H18	0.001	1.0	0.01	1.0	1.0	0.0	0.992	0.008	NA	NA	NA	NA	0.056740365437782644	0.056740365437782644	0.017592867924116795	0.03931451612903226	0.26487
52	AraTha	African3Epoch_1H18	0.001	1.0	0.01	10.0	1.0	0.0	0.991	0.009	NA	NA	NA	NA	0.07932633523599028	0.07932633523599028	0.008799761343232475	0.32593340060544906	0.26053999999999994
53	AraTha	African3Epoch_1H18	0.001	1.0	0.01	5.0	1.0	0.0	0.996	0.004	NA	NA	NA	NA	0.08732140108790974	0.08732140108790974	0.013198633709704357	0.17269076305220885	0.271025
54	AraTha	African3Epoch_1H18	0.001	1.0	0.01	50.0	1.0	0.0	0.989	0.011	NA	NA	NA	NA	0.1465292044528579	0.1465292044528579	0.007007737070757284	0.8088978766430738	0.26891499999999996
55	AraTha	African3Epoch_1H18	0.001	1.0	0.05	0.0	1.0	0.182	0.818	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.9602139364303177
56	AraTha	African3Epoch_1H18	0.001	1.0	0.05	1.0	1.0	0.172	0.828	0.0	0.06565488571428571	0.040697674418604654	0.06357142857142857	0.040697674418604654	0.0633420871863805	0.06337624441394084	0.014785722740458975	0.04830917874396135	0.9609601449275362
57	AraTha	African3Epoch_1H18	0.001	1.0	0.05	10.0	1.0	0.142	0.858	0.0	0.09127675319999999	0.31690140845070425	0.10551282051282052	0.2746478873239437	0.124877853457786	0.12284764839097513	0.01147442807941646	0.3881118881118881	0.9621969696969698
58	AraTha	African3Epoch_1H18	0.001	1.0	0.05	5.0	1.0	0.162	0.838	0.0	0.099987352	0.12345679012345678	0.10500000000000002	0.12345679012345678	0.08185039586862632	0.08392659354857016	0.010491162902945522	0.24224343675417662	0.9619749403341289
59	AraTha	African3Epoch_1H18	0.001	1.0	0.05	50.0	1.0	0.18	0.82	0.0	0.17627885249716313	0.7833333333333333	0.18050359712230213	0.7722222222222223	0.1902328470424476	0.1886511327279444	0.007232904159959809	0.8731707317073171	0.9596585365853658
60	AraTha	African3Epoch_1H18	0.001	1.0	0.1	0.0	1.0	0.842	0.158	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.967753164556962
