	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	AraTha	const1pop	0.001	0.0	0.01	0.0	1.0	0.0	0.702	0.298	NA	NA	NA	NA	NA	NA	NA	0.0	0.010845000000000002
1	AraTha	const1pop	0.001	0.0	0.01	1.0	1.0	0.0	0.713	0.287	NA	NA	NA	NA	NA	NA	NA	0.0	0.011475
2	AraTha	const1pop	0.001	0.0	0.01	10.0	1.0	0.0	0.716	0.284	NA	NA	NA	NA	NA	NA	NA	0.0	0.01086
3	AraTha	const1pop	0.001	0.0	0.01	5.0	1.0	0.0	0.696	0.304	NA	NA	NA	NA	NA	NA	NA	0.0	0.010395
4	AraTha	const1pop	0.001	0.0	0.01	50.0	1.0	0.0	0.694	0.306	NA	NA	NA	NA	0.5291666666666667	0.5291666666666667	0.11188101318414626	0.011527377521613832	0.01037
5	AraTha	const1pop	0.001	0.0	0.05	0.0	1.0	0.0	0.908	0.092	NA	NA	NA	NA	NA	NA	NA	0.0	0.053375
6	AraTha	const1pop	0.001	0.0	0.05	1.0	1.0	0.0	0.909	0.091	NA	NA	NA	NA	NA	NA	NA	0.0	0.054365000000000004
7	AraTha	const1pop	0.001	0.0	0.05	10.0	1.0	0.0	0.914	0.086	NA	NA	NA	NA	0.4634220607434893	0.4634220607434893	0.0792481425636728	0.030634573304157548	0.054150000000000004
8	AraTha	const1pop	0.001	0.0	0.05	5.0	1.0	0.0	0.925	0.075	NA	NA	NA	NA	0.4494423400673401	0.4494423400673401	0.14176716337925388	0.008648648648648649	0.055470000000000005
9	AraTha	const1pop	0.001	0.0	0.05	50.0	1.0	0.0	0.921	0.079	NA	NA	NA	NA	0.3621072347716385	0.3621072347716385	0.04164649600295071	0.08794788273615635	0.054265
10	AraTha	const1pop	0.001	0.0	0.1	0.0	1.0	0.0	0.959	0.041	NA	NA	NA	NA	NA	NA	NA	0.0	0.12588
11	AraTha	const1pop	0.001	0.0	0.1	1.0	1.0	0.0	0.961	0.039	NA	NA	NA	NA	0.3971394887068752	0.3971394887068752	0.14181664704177563	0.005202913631633715	0.13453
12	AraTha	const1pop	0.001	0.0	0.1	10.0	1.0	0.0	0.967	0.033	NA	NA	NA	NA	0.2354634392258613	0.2354634392258613	0.052495808107039084	0.04343329886246122	0.13057
13	AraTha	const1pop	0.001	0.0	0.1	5.0	1.0	0.0	0.963	0.037	NA	NA	NA	NA	0.3618868466534097	0.3618868466534097	0.08179228298991825	0.02284527518172378	0.12547
14	AraTha	const1pop	0.001	0.0	0.1	50.0	1.0	0.0	0.956	0.044	NA	NA	NA	NA	0.3053912695515141	0.3053912695515141	0.02450242248142759	0.19560669456066945	0.12716
15	AraTha	const1pop	0.001	0.0	0.5	0.0	1.0	0.889	0.109	0.002	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.6574324324324325
16	AraTha	const1pop	0.001	0.0	0.5	1.0	1.0	0.899	0.101	0.0	0.20194444444444443	0.010011123470522803	0.22999999999999998	0.008898776418242492	0.19415434798182254	0.21463757770649533	0.08139505867723615	0.0594059405940594	0.6784158415841585
17	AraTha	const1pop	0.001	0.0	0.5	10.0	1.0	0.902	0.098	0.0	0.25378703703703703	0.1197339246119734	0.26569306930693065	0.11197339246119734	0.4068224490330313	0.2795539905300299	0.031523181337476384	0.11224489795918367	0.6469897959183672
18	AraTha	const1pop	0.001	0.0	0.5	5.0	1.0	0.895	0.102	0.003	0.18447872340425533	0.05251396648044693	0.20406976744186042	0.048044692737430165	0.37376085474028353	0.23343937870504902	0.038358628398752696	0.08823529411764706	0.5851904761904763
19	AraTha	const1pop	0.001	0.0	0.5	50.0	1.0	0.893	0.107	0.0	0.3454436813186813	0.4076147816349384	0.35851851851851857	0.393057110862262	0.5112341457034556	0.38017501332714043	0.01810052781511482	0.5420560747663551	0.6507943925233644
20	AraTha	const1pop	0.001	0.0	1.0	0.0	1.0	0.999	0.001	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.24
21	AraTha	const1pop	0.001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.24266666666666661	0.012	0.2581818181818182	0.011	NA	0.2581818181818182	0.09395180758644472	NA	NA
22	AraTha	const1pop	0.001	0.0	1.0	10.0	1.0	1.0	0.0	0.0	0.29220526315789463	0.095	0.3230813953488371	0.086	NA	0.3230813953488371	0.03483821986903614	NA	NA
23	AraTha	const1pop	0.001	0.0	1.0	5.0	1.0	1.0	0.0	0.0	0.33951923076923074	0.052	0.3478	0.05	NA	0.3478	0.04985676626955606	NA	NA
24	AraTha	const1pop	0.001	0.0	1.0	50.0	1.0	1.0	0.0	0.0	0.3281752717391304	0.368	0.3394507042253521	0.355	NA	0.3394507042253521	0.018447139383624748	NA	NA
25	AraTha	const1pop	0.001	0.5	0.01	0.0	1.0	0.0	0.726	0.274	NA	NA	NA	NA	NA	NA	NA	0.0	0.01108
26	AraTha	const1pop	0.001	0.5	0.01	1.0	1.0	0.0	0.712	0.288	NA	NA	NA	NA	NA	NA	NA	0.0	0.011890000000000001
27	AraTha	const1pop	0.001	0.5	0.01	10.0	1.0	0.0	0.724	0.276	NA	NA	NA	NA	NA	NA	NA	0.0	0.01196
28	AraTha	const1pop	0.001	0.5	0.01	5.0	1.0	0.0	0.724	0.276	NA	NA	NA	NA	0.14285714285714285	0.14285714285714285		0.0013812154696132596	0.01117
29	AraTha	const1pop	0.001	0.5	0.01	50.0	1.0	0.0	0.725	0.275	NA	NA	NA	NA	0.64421768707483	0.64421768707483	0.14223870022317162	0.009655172413793104	0.011760000000000001
30	AraTha	const1pop	0.001	0.5	0.05	0.0	1.0	0.0	0.956	0.044	NA	NA	NA	NA	NA	NA	NA	0.0	0.081095
31	AraTha	const1pop	0.001	0.5	0.05	1.0	1.0	0.0	0.935	0.065	NA	NA	NA	NA	0.8648648648648649	0.8648648648648649		0.0010695187165775401	0.07615000000000001
32	AraTha	const1pop	0.001	0.5	0.05	10.0	1.0	0.0	0.951	0.049	NA	NA	NA	NA	0.25294277260913417	0.25294277260913417	0.06615840430165172	0.025236593059936908	0.07683000000000001
33	AraTha	const1pop	0.001	0.5	0.05	5.0	1.0	0.0	0.95	0.05	NA	NA	NA	NA	0.4016353808918929	0.4016353808918929	0.14327376403041758	0.011578947368421053	0.080765
34	AraTha	const1pop	0.001	0.5	0.05	50.0	1.0	0.0	0.956	0.044	NA	NA	NA	NA	0.31469858515404486	0.31469858515404486	0.03149392877355637	0.11401673640167365	0.08096
