	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	DroMel	African3Epoch_1S16	0.001	0.0	0.01	0.0	1.0	0.0	0.755	0.245	NA	NA	NA	NA	NA	NA	NA	0.0	0.018080000000000002
1	DroMel	African3Epoch_1S16	0.001	0.0	0.01	1.0	1.0	0.0	0.723	0.277	NA	NA	NA	NA	0.5615545607544065	0.5615545607544065	0.023270626168252324	0.3333333333333333	0.016475
2	DroMel	African3Epoch_1S16	0.001	0.0	0.01	10.0	1.0	0.0	0.734	0.266	NA	NA	NA	NA	0.940759871052711	0.940759871052711	0.005778457227353278	0.9550408719346049	0.017215000000000005
3	DroMel	African3Epoch_1S16	0.001	0.0	0.01	5.0	1.0	0.0	0.732	0.268	NA	NA	NA	NA	0.831038955438733	0.831038955438733	0.010689270359408764	0.8210382513661202	0.018085
4	DroMel	African3Epoch_1S16	0.001	0.0	0.01	50.0	1.0	0.0	0.728	0.272	NA	NA	NA	NA	0.9974816849816851	0.9974816849816851	0.0012721236251344128	1.0	0.017625000000000005
5	DroMel	African3Epoch_1S16	0.001	0.0	0.05	0.0	1.0	0.941	0.047	0.012	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.2025423728813559
6	DroMel	African3Epoch_1S16	0.001	0.0	0.05	1.0	1.0	0.938	0.057	0.005	0.4061738671108741	1.0	0.40602878464818765	1.0	0.7844371463091092	0.42335164962757876	0.010718723468839645	0.7894736842105263	0.2893548387096775
7	DroMel	African3Epoch_1S16	0.001	0.0	0.05	10.0	1.0	0.937	0.054	0.009	0.9819783831376734	1.0	0.9816808964781217	1.0	0.995237925163994	0.9824196245800764	0.0015798016293508425	1.0	0.20269841269841268
8	DroMel	African3Epoch_1S16	0.001	0.0	0.05	5.0	1.0	0.941	0.055	0.004	0.9070040361317747	1.0	0.90730605738576	1.0	0.9858383838383838	0.911642681838465	0.004696739832702792	1.0	0.202457627118644
9	DroMel	African3Epoch_1S16	0.001	0.0	0.05	50.0	1.0	0.926	0.067	0.007	0.9978628930885529	1.0	0.9980183585313175	1.0	1.0	0.9981520644511581	0.00033024822334945547	1.0	0.3498648648648649
10	DroMel	African3Epoch_1S16	0.001	0.0	0.1	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
11	DroMel	African3Epoch_1S16	0.001	0.0	0.1	1.0	1.0	1.0	0.0	0.0	0.28053691849269313	0.958	0.2852609158679446	0.939	NA	0.2852609158679446	0.010405439544199068	NA	NA
12	DroMel	African3Epoch_1S16	0.001	0.0	0.1	10.0	1.0	1.0	0.0	0.0	0.9056992429999999	1.0	0.905	1.0	NA	0.905	0.004892012038188559	NA	NA
13	DroMel	African3Epoch_1S16	0.001	0.0	0.1	5.0	1.0	1.0	0.0	0.0	0.7264129166100002	1.0	0.7275825825825826	0.999	NA	0.7275825825825826	0.00888500472578663	NA	NA
14	DroMel	African3Epoch_1S16	0.001	0.0	0.1	50.0	1.0	1.0	0.0	0.0	0.9913460070000001	1.0	0.991425	1.0	NA	0.991425	0.0011764260934514132	NA	NA
15	DroMel	African3Epoch_1S16	0.001	0.0	0.5	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
16	DroMel	African3Epoch_1S16	0.001	0.0	0.5	1.0	1.0	1.0	0.0	0.0	0.27049289104273505	0.936	0.2795704845814978	0.908	NA	0.2795704845814978	0.01075723742319501	NA	NA
17	DroMel	African3Epoch_1S16	0.001	0.0	0.5	10.0	1.0	1.0	0.0	0.0	0.9126028839999999	1.0	0.91247	1.0	NA	0.91247	0.004732044097569395	NA	NA
18	DroMel	African3Epoch_1S16	0.001	0.0	0.5	5.0	1.0	1.0	0.0	0.0	0.7395392331	1.0	0.7404100000000001	1.0	NA	0.7404100000000001	0.008992833421839468	NA	NA
19	DroMel	African3Epoch_1S16	0.001	0.0	0.5	50.0	1.0	1.0	0.0	0.0	0.9920068769999999	1.0	0.991915	1.0	NA	0.991915	0.0009858141836089622	NA	NA
20	DroMel	African3Epoch_1S16	0.001	0.0	1.0	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
21	DroMel	African3Epoch_1S16	0.001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.466417107	1.0	0.46696000000000004	1.0	NA	0.46696000000000004	0.010676595810374116	NA	NA
22	DroMel	African3Epoch_1S16	0.001	0.0	1.0	10.0	1.0	1.0	0.0	0.0	0.984604182	1.0	0.984325	1.0	NA	0.984325	0.0014165189377134714	NA	NA
23	DroMel	African3Epoch_1S16	0.001	0.0	1.0	5.0	1.0	1.0	0.0	0.0	0.9210907070000001	1.0	0.9205549999999999	1.0	NA	0.9205549999999999	0.004262344960178559	NA	NA
24	DroMel	African3Epoch_1S16	0.001	0.0	1.0	50.0	1.0	1.0	0.0	0.0	0.9979211729999999	1.0	0.997885	1.0	NA	0.997885	0.00031796678738176085	NA	NA
25	DroMel	African3Epoch_1S16	0.001	0.5	0.01	0.0	1.0	0.065	0.935	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.9789358288770053
26	DroMel	African3Epoch_1S16	0.001	0.5	0.01	1.0	1.0	0.045	0.955	0.0	0.12857195955555556	1.0	0.12844444444444444	1.0	0.13218028577912483	0.1320089169105615	0.005762808527199592	0.9801047120418848	0.982523560209424
27	DroMel	African3Epoch_1S16	0.001	0.5	0.01	10.0	1.0	0.056	0.944	0.0	0.6563353392857143	1.0	0.6510714285714286	1.0	0.734775571899105	0.7300881398727551	0.006065028538868714	1.0	0.977770127118644
28	DroMel	African3Epoch_1S16	0.001	0.5	0.01	5.0	1.0	0.065	0.935	0.0	0.3988678	1.0	0.3991538461538462	1.0	0.49938482285709024	0.49286980937137936	0.007432254295484157	1.0	0.980139037433155
29	DroMel	African3Epoch_1S16	0.001	0.5	0.01	50.0	1.0	0.063	0.937	0.0	0.9831455079365079	1.0	0.9848412698412697	1.0	0.9925506292292683	0.9920649395878245	0.0006695339758599449	1.0	0.9820971184631803
