	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	DroMel	const1pop	0.001	0.0	0.01	0.0	1.0	0.004	0.743	0.253	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.04495983935742972
1	DroMel	const1pop	0.001	0.0	0.01	1.0	1.0	0.005	0.729	0.266	0.4347088	1.0	0.43800000000000006	1.0	0.6735995606997593	0.6712388436586796	0.015090377202629363	0.6776406035665294	0.03725125628140703
2	DroMel	const1pop	0.001	0.0	0.01	10.0	1.0	0.009	0.737	0.254	0.9870168888888888	1.0	0.9894444444444443	1.0	0.9977041233289071	0.9976043419732558	0.0005989797676251652	0.9986431478968792	0.0474318869828456
3	DroMel	const1pop	0.001	0.0	0.01	5.0	1.0	0.003	0.75	0.247	0.878831	1.0	0.8866666666666667	1.0	0.9618809023578493	0.9615743225928036	0.004243365158666639	0.9773333333333334	0.04996489468405215
4	DroMel	const1pop	0.001	0.0	0.01	50.0	1.0	0.007	0.743	0.25	1.0	1.0	1.0	1.0	0.9997791302570872	0.999781191708021	0.0001916782467819188	1.0	0.036807653575025176
5	DroMel	const1pop	0.001	0.0	0.05	0.0	1.0	0.996	0.002	0.002	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.017499999999999998
6	DroMel	const1pop	0.001	0.0	0.05	1.0	1.0	0.996	0.004	0.0	0.6317536019076305	1.0	0.630652610441767	1.0	1.0	0.6321300000000001	0.009662125530636093	1.0	0.255
7	DroMel	const1pop	0.001	0.0	0.05	10.0	1.0	0.993	0.005	0.002	0.9957730110775429	1.0	0.9956797583081571	1.0	0.9888888888888889	0.995645735916277	0.0005217992544423759	1.0	0.31071428571428567
8	DroMel	const1pop	0.001	0.0	0.05	5.0	1.0	0.997	0.003	0.0	0.9790977031093281	1.0	0.9790020060180541	1.0	0.9901960784313726	0.9790355882352941	0.001699108725692591	1.0	0.09333333333333334
9	DroMel	const1pop	0.001	0.0	0.05	50.0	1.0	1.0	0.0	0.0	0.9995778499999999	1.0	0.999575	1.0	NA	0.999575	0.00010957363451753067	NA	NA
10	DroMel	const1pop	0.001	0.0	0.1	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
11	DroMel	const1pop	0.001	0.0	0.1	1.0	1.0	1.0	0.0	0.0	0.6417783082999999	1.0	0.642385	1.0	NA	0.642385	0.009746375152004133	NA	NA
12	DroMel	const1pop	0.001	0.0	0.1	10.0	1.0	1.0	0.0	0.0	0.99571597	1.0	0.995845	1.0	NA	0.995845	0.0005051397243744953	NA	NA
13	DroMel	const1pop	0.001	0.0	0.1	5.0	1.0	1.0	0.0	0.0	0.979458734	1.0	0.9795600000000001	1.0	NA	0.9795600000000001	0.0017098186687131123	NA	NA
14	DroMel	const1pop	0.001	0.0	0.1	50.0	1.0	1.0	0.0	0.0	0.999264849	1.0	0.9991949999999999	1.0	NA	0.9991949999999999	0.00020289934239209144	NA	NA
15	DroMel	const1pop	0.001	0.0	0.5	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
16	DroMel	const1pop	0.001	0.0	0.5	1.0	1.0	1.0	0.0	0.0	0.6282218822	1.0	0.627855	1.0	NA	0.627855	0.009776950584805969	NA	NA
17	DroMel	const1pop	0.001	0.0	0.5	10.0	1.0	1.0	0.0	0.0	0.995895914	1.0	0.9961550000000001	1.0	NA	0.9961550000000001	0.0004384440764889045	NA	NA
18	DroMel	const1pop	0.001	0.0	0.5	5.0	1.0	1.0	0.0	0.0	0.978510464	1.0	0.9783399999999999	1.0	NA	0.9783399999999999	0.0016816278637892131	NA	NA
19	DroMel	const1pop	0.001	0.0	0.5	50.0	1.0	1.0	0.0	0.0	0.999408639	1.0	0.999285	1.0	NA	0.999285	0.00016520007889243293	NA	NA
20	DroMel	const1pop	0.001	0.0	1.0	0.0	1.0	1.0	0.0	0.0	NA	0.0	NA	0.0	NA	NA	NA	NA	NA
21	DroMel	const1pop	0.001	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.6320303027	1.0	0.631615	1.0	NA	0.631615	0.00984058452932949	NA	NA
