	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	0.0	1.0	0.0	0.405	0.595	NA	NA	NA	NA	NA	NA	NA	0.0	0.00357
1	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	1.0	1.0	0.0	0.409	0.591	NA	NA	NA	NA	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.004889975550122249	0.0034399999999999995
2	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	10.0	1.0	0.0	0.407	0.593	NA	NA	NA	NA	0.7638888888888888	0.7638888888888888	0.08571921248734182	0.029484029484029485	0.00331
3	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	5.0	1.0	0.0	0.397	0.603	NA	NA	NA	NA	0.6666666666666666	0.6666666666666666	0.1075828707279838	0.022670025188916875	0.0034100000000000003
4	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	50.0	1.0	0.0	0.418	0.582	NA	NA	NA	NA	0.6509259259259259	0.6509259259259259	0.03872646608968489	0.1722488038277512	0.004125
5	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	0.0	1.0	0.0	0.84	0.16	NA	NA	NA	NA	NA	NA	NA	0.0	0.02637
6	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	1.0	1.0	0.0	0.835	0.165	NA	NA	NA	NA	0.33095978582820684	0.33095978582820684	0.06780004249306676	0.019161676646706587	0.026705000000000003
7	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	10.0	1.0	0.0	0.825	0.175	NA	NA	NA	NA	0.4303788969632605	0.4303788969632605	0.027162212419721186	0.18787878787878787	0.02374
8	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	5.0	1.0	0.0	0.831	0.169	NA	NA	NA	NA	0.4379415353773849	0.4379415353773849	0.03985194868872506	0.09747292418772563	0.023149999999999997
9	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	50.0	1.0	0.0	0.849	0.151	NA	NA	NA	NA	0.624742043441999	0.624742043441999	0.015671989365119515	0.6183745583038869	0.025855
