	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	0.0	1.0	0.0	0.523	0.477	NA	NA	NA	NA	NA	NA	NA	0.0	0.004925
1	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	1.0	1.0	0.0	0.498	0.502	NA	NA	NA	NA	NA	NA	NA	0.0	0.004835
2	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	10.0	1.0	0.0	0.514	0.486	NA	NA	NA	NA	0.7380952380952381	0.7380952380952381	0.12523598284174206	0.013618677042801557	0.005030000000000001
3	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	5.0	1.0	0.0	0.534	0.466	NA	NA	NA	NA	0.55	0.55	0.18371173070873836	0.009363295880149813	0.00522
4	HomSap	OutOfAfrica_2T12	0.001	0.0	0.01	50.0	1.0	0.0	0.533	0.467	NA	NA	NA	NA	0.6032482993197279	0.6032482993197279	0.037160582721812004	0.13133208255159476	0.0049499999999999995
5	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	0.0	1.0	0.0	0.954	0.046	NA	NA	NA	NA	NA	NA	NA	0.0	0.155765
6	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	1.0	1.0	0.0	0.96	0.04	NA	NA	NA	NA	0.10356773175884883	0.10356773175884883	0.0312592659348866	0.06354166666666666	0.158315
7	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	10.0	1.0	0.0	0.955	0.045	NA	NA	NA	NA	0.19424220391517483	0.19424220391517483	0.014538082188209515	0.406282722513089	0.15026000000000003
8	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	5.0	1.0	0.0	0.969	0.031	NA	NA	NA	NA	0.15509474657638858	0.15509474657638858	0.016510516766031814	0.25386996904024767	0.162325
9	HomSap	OutOfAfrica_2T12	0.001	0.0	0.05	50.0	1.0	0.0	0.95	0.05	NA	NA	NA	NA	0.38648345298292547	0.38648345298292547	0.011994574918526738	0.8378947368421052	0.14919
10	HomSap	OutOfAfrica_2T12	0.001	0.0	0.1	0.0	1.0	0.0	0.301	0.699	NA	NA	NA	NA	NA	NA	NA	0.0	0.05611
11	HomSap	OutOfAfrica_2T12	0.001	0.0	0.1	1.0	1.0	0.0	0.271	0.729	NA	NA	NA	NA	0.12412810151443017	0.12412810151443017	0.07025317044238986	0.05166051660516605	0.05552
12	HomSap	OutOfAfrica_2T12	0.001	0.0	0.1	10.0	1.0	0.0	0.278	0.722	NA	NA	NA	NA	0.3583307405515148	0.3583307405515148	0.03769063756835523	0.43884892086330934	0.053835
13	HomSap	OutOfAfrica_2T12	0.001	0.0	0.1	5.0	1.0	0.0	0.301	0.699	NA	NA	NA	NA	0.3457989687070708	0.3457989687070708	0.04743689852062188	0.24584717607973422	0.060025
14	HomSap	OutOfAfrica_2T12	0.001	0.0	0.1	50.0	1.0	0.0	0.3	0.7	NA	NA	NA	NA	0.6194296695924019	0.6194296695924019	0.024683013142807936	0.8566666666666667	0.05911
15	HomSap	OutOfAfrica_2T12	0.001	0.0	0.5	0.0	1.0	0.776	0.189	0.035	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.4875
16	HomSap	OutOfAfrica_2T12	0.001	0.0	0.5	1.0	1.0	0.77	0.184	0.046	0.37319614311111104	0.11688311688311688	0.3875862068965517	0.11298701298701298	0.30625816574712994	0.3688735602604016	0.035311835115078766	0.14130434782608695	0.4782608695652174
