	Species	Demog Model	Selection Coefficient	Dominance Coefficient	Sweep Start Time	Gene Conversion Ratio	Good Rep %	Fixed %	Partial %	Sweeping mut absent from samp%	Mean Recombinant Pop Freq (fixed)	Fraction Soft in Pop (fixed)	Mean Recombinant Sample Freq (fixed)	Fraction Soft in Sample (fixed)	Mean Recombinant Sample Freq (incomplete)	Mean Rec Sample Freq (all)	SEM Rec Sample Freq (all)	Fraction Soft in Sample (incomplete)	Mean Sweep Freq in Sample (incomplete)
0	HomSap	const1pop	0.001	0.0	0.01	0.0	1.0	0.0	0.737	0.263	NA	NA	NA	NA	NA	NA	NA	0.0	0.011
1	HomSap	const1pop	0.001	0.0	0.01	1.0	1.0	0.0	0.702	0.298	NA	NA	NA	NA	0.5	0.5	0.0	0.002849002849002849	0.010825
2	HomSap	const1pop	0.001	0.0	0.01	10.0	1.0	0.0	0.67	0.33	NA	NA	NA	NA	0.5279251700680272	0.5279251700680272	0.055116567895409314	0.05223880597014925	0.010230000000000001
3	HomSap	const1pop	0.001	0.0	0.01	5.0	1.0	0.0	0.704	0.296	NA	NA	NA	NA	0.49603174603174593	0.49603174603174593	0.10783871620397772	0.01278409090909091	0.010435000000000002
4	HomSap	const1pop	0.001	0.0	0.01	50.0	1.0	0.0	0.712	0.288	NA	NA	NA	NA	0.608469255693935	0.608469255693935	0.030504535520173525	0.18679775280898878	0.011065000000000002
5	HomSap	const1pop	0.001	0.0	0.05	0.0	1.0	0.0	0.927	0.073	NA	NA	NA	NA	NA	NA	NA	0.0	0.05322500000000001
6	HomSap	const1pop	0.001	0.0	0.05	1.0	1.0	0.0	0.915	0.085	NA	NA	NA	NA	0.32917529195197126	0.32917529195197126	0.05949723585536614	0.03715846994535519	0.05437
7	HomSap	const1pop	0.001	0.0	0.05	10.0	1.0	0.0	0.914	0.086	NA	NA	NA	NA	0.4679674785069286	0.4679674785069286	0.024580908940270547	0.2702407002188184	0.05428500000000001
8	HomSap	const1pop	0.001	0.0	0.05	5.0	1.0	0.0	0.916	0.084	NA	NA	NA	NA	0.4440205297906108	0.4440205297906108	0.034548907639107014	0.1331877729257642	0.04942
9	HomSap	const1pop	0.001	0.0	0.05	50.0	1.0	0.0	0.927	0.073	NA	NA	NA	NA	0.6406059725803124	0.6406059725803124	0.013613019669496372	0.7184466019417476	0.052295
10	HomSap	const1pop	0.001	0.0	0.1	0.0	1.0	0.0	0.971	0.029	NA	NA	NA	NA	NA	NA	NA	0.0	0.13253
11	HomSap	const1pop	0.001	0.0	0.1	1.0	1.0	0.0	0.962	0.038	NA	NA	NA	NA	0.30111550429712947	0.30111550429712947	0.043322406074552525	0.06860706860706861	0.125575
12	HomSap	const1pop	0.001	0.0	0.1	10.0	1.0	0.0	0.959	0.041	NA	NA	NA	NA	0.4202392526957313	0.4202392526957313	0.01703687945706034	0.49635036496350365	0.12445
13	HomSap	const1pop	0.001	0.0	0.1	5.0	1.0	0.0	0.972	0.028	NA	NA	NA	NA	0.37379952115388915	0.37379952115388915	0.02093685174564889	0.3343621399176955	0.12941
14	HomSap	const1pop	0.001	0.0	0.1	50.0	1.0	0.0	0.963	0.037	NA	NA	NA	NA	0.7412267666342713	0.7412267666342713	0.01080282104111832	0.9190031152647975	0.12716999999999998
15	HomSap	const1pop	0.001	0.0	0.5	0.0	1.0	0.906	0.094	0.0	NA	0.0	NA	0.0	NA	NA	NA	0.0	0.6621276595744681
16	HomSap	const1pop	0.001	0.0	0.5	1.0	1.0	0.893	0.107	0.0	0.2475978260869565	0.15453527435610304	0.26893700787401575	0.1422172452407615	0.4884898088989859	0.3097513106286577	0.0273847156598065	0.27102803738317754	0.6843457943925234
